year,final_draw_position,country,style,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points
2023,20,Norway,Pop,216.0,52.0,36.0,11.0,5.0,268.0
2023,5,Serbia,Pop,16.0,14.0,4.0,6.0,24.0,30.0
2023,2,Portugal,Pop,16.0,43.0,3.0,9.0,23.0,59.0
2023,25,Croatia,Pop,112.0,11.0,20.0,2.0,13.0,123.0
2023,3,Switzerland,Ballad,31.0,61.0,10.0,15.0,20.0,92.0
2023,23,Israel,Pop,185.0,177.0,30.0,25.0,3.0,362.0
2023,18,Moldova,Traditional,76.0,20.0,17.0,4.0,18.0,96.0
2023,9,Sweden,Pop,243.0,340.0,36.0,36.0,1.0,583.0
2023,14,Czech Republic,Pop,35.0,94.0,12.0,18.0,10.0,129.0
2023,13,Finland,Pop,376.0,150.0,37.0,22.0,2.0,526.0
2023,17,Armenia,Ballad,53.0,69.0,10.0,15.0,14.0,122.0
2023,12,Estonia,Ballad,22.0,146.0,4.0,22.0,8.0,168.0
2023,16,Belgium,Pop,55.0,127.0,13.0,22.0,7.0,182.0
2023,7,Cyprus,Ballad,58.0,68.0,11.0,17.0,12.0,126.0
2023,4,Poland,Pop,81.0,12.0,17.0,5.0,19.0,93.0
2023,24,Slovenia,Rock,45.0,33.0,11.0,6.0,21.0,78.0
2023,1,Austria,Pop,16.0,104.0,4.0,18.0,15.0,120.0
2023,10,Albania,Traditional,59.0,17.0,10.0,4.0,22.0,76.0
2023,22,Lithuania,Ballad,46.0,81.0,8.0,15.0,11.0,127.0
2023,15,Australia,Rock,21.0,130.0,6.0,23.0,9.0,151.0
2023,6,France,Ballad,50.0,54.0,17.0,10.0,16.0,104.0
2023,8,Spain,Traditional,5.0,95.0,2.0,21.0,17.0,100.0
2023,11,Italy,Ballad,174.0,176.0,29.0,27.0,4.0,350.0
2023,19,Ukraine,Pop,189.0,54.0,28.0,10.0,6.0,243.0
2023,21,Germany,Rock,15.0,3.0,3.0,2.0,26.0,18.0
2023,26,United Kingdom,Pop,9.0,15.0,2.0,5.0,25.0,24.0
2022,14,Lithuania,Ballad,93.0,35.0,21.0,10.0,14.0,128.0
2022,5,Switzerland,Ballad,0.0,78.0,0.0,21.0,17.0,78.0
2022,12,Ukraine,Traditional,439.0,192.0,39.0,26.0,1.0,631.0
2022,11,Netherlands,Ballad,42.0,129.0,12.0,25.0,11.0,171.0
2022,19,Moldova,Traditional,239.0,14.0,35.0,4.0,7.0,253.0
2022,3,Portugal,Ballad,36.0,171.0,9.0,29.0,9.0,207.0
2022,18,Iceland,Traditional,10.0,10.0,2.0,4.0,23.0,20.0
2022,17,Greece,Ballad,57.0,158.0,9.0,26.0,8.0,215.0
2022,7,Norway,Pop,146.0,36.0,32.0,10.0,10.0,182.0
2022,8,Armenia,Ballad,21.0,40.0,4.0,10.0,20.0,61.0
2022,4,Finland,Rock,26.0,12.0,8.0,3.0,21.0,38.0
2022,24,Serbia,Traditional,225.0,87.0,34.0,15.0,5.0,312.0
2022,15,Azerbaijan,Ballad,3.0,103.0,1.0,19.0,16.0,106.0
2022,21,Australia,Ballad,2.0,123.0,1.0,23.0,15.0,125.0
2022,25,Estonia,Pop,98.0,43.0,19.0,8.0,13.0,141.0
2022,2,Romania,Pop,53.0,12.0,12.0,3.0,18.0,65.0
2022,23,Poland,Ballad,105.0,46.0,22.0,9.0,12.0,151.0
2022,16,Belgium,Pop,5.0,59.0,2.0,13.0,19.0,64.0
2022,20,Sweden,Ballad,180.0,258.0,33.0,33.0,4.0,438.0
2022,1,Czech Republic,Dance,5.0,33.0,1.0,11.0,22.0,38.0
2022,9,Italy,Ballad,110.0,158.0,23.0,26.0,6.0,268.0
2022,10,Spain,Pop,228.0,231.0,38.0,34.0,3.0,459.0
2022,13,Germany,Ballad,6.0,0.0,3.0,0.0,25.0,6.0
2022,22,United Kingdom,Pop,183.0,283.0,34.0,35.0,2.0,466.0
2022,6,France,Traditional,8.0,9.0,6.0,3.0,24.0,17.0
2021,18,Lithuania,Dance,165.0,55.0,27.0,12.0,8.0,220.0
2021,5,Russia,Traditional,100.0,104.0,22.0,21.0,9.0,204.0
2021,25,Sweden,Pop,63.0,46.0,18.0,10.0,14.0,109.0
2021,1,Cyprus,Pop,44.0,50.0,7.0,11.0,16.0,94.0
2021,22,Norway,Pop,60.0,15.0,16.0,5.0,18.0,75.0
2021,4,Belgium,Ballad,3.0,71.0,2.0,17.0,19.0,74.0
2021,3,Israel,Pop,20.0,73.0,4.0,17.0,17.0,93.0
2021,21,Azerbaijan,Pop,33.0,32.0,12.0,9.0,20.0,65.0
2021,19,Ukraine,Traditional,267.0,97.0,38.0,19.0,5.0,364.0
2021,6,Malta,Pop,47.0,208.0,15.0,35.0,7.0,255.0
2021,10,Greece,Pop,79.0,91.0,11.0,15.0,10.0,170.0
2021,14,Moldova,Pop,62.0,53.0,11.0,6.0,13.0,115.0
2021,8,Serbia,Pop,82.0,20.0,12.0,3.0,15.0,102.0
2021,2,Albania,Ballad,35.0,22.0,5.0,4.0,21.0,57.0
2021,7,Portugal,Traditional,27.0,126.0,6.0,22.0,12.0,153.0
2021,17,Bulgaria,Ballad,30.0,140.0,5.0,26.0,11.0,170.0
2021,16,Finland,Rock,218.0,83.0,37.0,19.0,6.0,301.0
2021,11,Switzerland,Ballad,165.0,267.0,34.0,34.0,3.0,432.0
2021,23,Netherlands,Ballad,0.0,11.0,0.0,5.0,11.0,23.0
2021,13,Spain,Ballad,0.0,6.0,0.0,2.0,24.0,6.0
2021,9,United Kingdom,Pop,0.0,0.0,0.0,0.0,26.0,0.0
2021,15,Germany,Pop,0.0,3.0,0.0,2.0,25.0,3.0
2021,20,France,Ballad,251.0,248.0,38.0,33.0,2.0,499.0
2021,24,Italy,Rock,318.0,206.0,38.0,28.0,1.0,524.0
2019,11,Cyprus,Dance,32.0,77.0,4.0,15.0,13.0,109.0
2019,10,Slovenia,Ballad,59.0,46.0,13.0,9.0,15.0,105.0
2019,3,Czech Republic,Pop,7.0,150.0,4.0,26.0,11.0,157.0
2019,19,Belarus,Dance,13.0,18.0,2.0,5.0,24.0,31.0
2019,23,Serbia,Ballad,54.0,35.0,7.0,8.0,18.0,89.0
2019,25,Australia,Opera,131.0,153.0,30.0,24.0,9.0,284.0
2019,17,Iceland,Dance,186.0,46.0,34.0,9.0,10.0,232.0
2019,18,Estonia,Pop,48.0,28.0,10.0,7.0,20.0,76.0
2019,13,Greece,Pop,24.0,50.0,3.0,8.0,21.0,74.0
2019,7,San Marino,Dance,65.0,12.0,11.0,3.0,19.0,77.0
2019,24,Switzerland,Dance,212.0,152.0,38.0,28.0,4.0,364.0
2019,6,Denmark,Pop,51.0,69.0,13.0,16.0,12.0,120.0
2019,9,Sweden,Ballad,93.0,241.0,17.0,32.0,5.0,334.0
2019,1,Malta,Pop,20.0,87.0,4.0,19.0,14.0,107.0
2019,5,Russia,Ballad,244.0,126.0,30.0,24.0,3.0,370.0
2019,2,Albania,Traditional,47.0,43.0,6.0,10.0,17.0,90.0
2019,15,Norway,Dance,291.0,40.0,37.0,9.0,6.0,331.0
2019,12,Netherlands,Ballad,261.0,237.0,40.0,32.0,1.0,498.0
2019,8,North Macedonia,Ballad,58.0,247.0,11.0,32.0,7.0,305.0
2019,20,Azerbaijan,Pop,100.0,202.0,26.0,33.0,8.0,302.0
2019,4,Germany,Ballad,0.0,24.0,0.0,5.0,25.0,24.0
2019,14,Israel,Ballad,35.0,0.0,7.0,0.0,23.0,35.0
2019,16,United Kingdom,Ballad,3.0,8.0,1.0,5.0,26.0,11.0
2019,21,France,Pop,38.0,67.0,12.0,18.0,16.0,105.0
2019,22,Italy,Pop,253.0,219.0,38.0,32.0,2.0,472.0
2019,26,Spain,Pop,53.0,1.0,12.0,1.0,22.0,54.0
2018,12,Albania,Rock,58.0,126.0,8.0,20.0,11.0,184.0
2018,14,Czech Republic,Pop,215.0,66.0,35.0,16.0,6.0,281.0
2018,4,Lithuania,Ballad,91.0,90.0,11.0,17.0,12.0,181.0
2018,22,Israel,Pop,317.0,212.0,39.0,34.0,1.0,529.0
2018,6,Estonia,Opera,102.0,143.0,19.0,26.0,8.0,245.0
2018,18,Bulgaria,Pop,66.0,100.0,15.0,18.0,14.0,166.0
2018,5,Austria,Pop,71.0,271.0,18.0,34.0,3.0,342.0
2018,17,Finland,Pop,23.0,23.0,4.0,6.0,25.0,46.0
2018,24,Ireland,Traditional,62.0,74.0,14.0,19.0,16.0,136.0
2018,25,Cyprus,Pop,253.0,183.0,42.0,27.0,2.0,436.0
2018,7,Norway,Pop,84.0,60.0,18.0,12.0,15.0,144.0
2018,10,Serbia,Traditional,75.0,38.0,9.0,6.0,19.0,113.0
2018,15,Denmark,Traditional,188.0,38.0,32.0,8.0,9.0,226.0
2018,19,Moldova,Pop,115.0,94.0,23.0,13.0,10.0,209.0
2018,23,Netherlands,Rock,32.0,89.0,7.0,18.0,18.0,121.0
2018,16,Australia,Pop,9.0,90.0,3.0,17.0,20.0,99.0
2018,21,Hungary,Rock,65.0,28.0,15.0,7.0,21.0,93.0
2018,20,Sweden,Pop,21.0,253.0,7.0,35.0,7.0,274.0
2018,3,Slovenia,Pop,23.0,41.0,4.0,12.0,22.0,64.0
2018,1,Ukraine,Dance,119.0,11.0,18.0,2.0,17.0,130.0
2018,8,Portugal,Pop,18.0,21.0,2.0,5.0,26.0,39.0
2018,9,United Kingdom,Pop,25.0,23.0,7.0,6.0,24.0,48.0
2018,11,Germany,Pop,136.0,204.0,29.0,30.0,4.0,340.0
2018,13,France,Pop,59.0,114.0,13.0,21.0,13.0,173.0
2018,26,Italy,Pop,249.0,59.0,35.0,11.0,5.0,308.0
2018,2,Spain,Pop,18.0,43.0,3.0,10.0,23.0,61.0
2017,24,Sweden,Pop,126.0,218.0,35.0,33.0,5.0,344.0
2017,14,Australia,Pop,2.0,171.0,1.0,29.0,9.0,173.0
2017,23,Belgium,Pop,255.0,108.0,40.0,21.0,4.0,363.0
2017,12,Azerbaijan,Pop,42.0,78.0,6.0,14.0,14.0,120.0
2017,11,Portugal,Ballad,376.0,382.0,41.0,39.0,1.0,758.0
2017,15,Greece,Pop,29.0,48.0,6.0,7.0,19.0,77.0
2017,2,Poland,Pop,41.0,23.0,11.0,7.0,22.0,64.0
2017,7,Moldova,Dance,264.0,110.0,38.0,19.0,3.0,374.0
2017,19,Cyprus,Pop,32.0,36.0,6.0,7.0,21.0,68.0
2017,5,Armenia,Pop,21.0,58.0,5.0,16.0,18.0,79.0
2017,4,Austria,Pop,0.0,93.0,0.0,24.0,16.0,93.0
2017,20,Romania,Pop,224.0,58.0,38.0,11.0,7.0,282.0
2017,6,Netherlands,Pop,15.0,135.0,5.0,25.0,11.0,150.0
2017,8,Hungary,Traditional,152.0,48.0,33.0,10.0,8.0,200.0
2017,10,Denmark,Pop,8.0,69.0,1.0,14.0,20.0,77.0
2017,13,Croatia,Opera,103.0,25.0,21.0,6.0,13.0,128.0
2017,17,Norway,Pop,29.0,129.0,8.0,24.0,10.0,158.0
2017,3,Belarus,Pop,33.0,50.0,9.0,11.0,17.0,83.0
2017,25,Bulgaria,Pop,337.0,278.0,41.0,38.0,2.0,615.0
2017,1,Israel,Pop,5.0,34.0,3.0,8.0,23.0,39.0
2017,9,Italy,Pop,208.0,126.0,36.0,20.0,6.0,334.0
2017,16,Spain,Pop,5.0,0.0,1.0,0.0,26.0,5.0
2017,18,United Kingdom,Ballad,12.0,99.0,4.0,21.0,15.0,111.0
2017,21,Germany,Pop,3.0,3.0,1.0,1.0,25.0,6.0
2017,22,Ukraine,Rock,24.0,12.0,6.0,3.0,24.0,36.0
2017,26,France,Pop,90.0,45.0,24.0,12.0,12.0,135.0
2016,5,Hungary,Pop,56.0,52.0,16.0,12.0,19.0,108.0
2016,17,Croatia,Pop,33.0,40.0,5.0,11.0,23.0,73.0
2016,3,Netherlands,Pop,39.0,114.0,8.0,22.0,11.0,153.0
2016,26,Armenia,Pop,134.0,115.0,21.0,21.0,7.0,249.0
2016,18,Russia,Pop,361.0,130.0,41.0,20.0,3.0,491.0
2016,2,Czech Republic,Pop,0.0,41.0,0.0,11.0,25.0,41.0
2016,14,Cyprus,Rock,53.0,43.0,11.0,10.0,21.0,96.0
2016,24,Austria,Pop,120.0,31.0,27.0,7.0,13.0,151.0
2016,4,Azerbaijan,Pop,73.0,44.0,13.0,11.0,17.0,117.0
2016,22,Malta,Pop,16.0,137.0,3.0,23.0,12.0,153.0
2016,20,Latvia,Pop,63.0,69.0,13.0,14.0,15.0,132.0
2016,12,Poland,Pop,222.0,7.0,35.0,4.0,8.0,229.0
2016,7,Israel,Ballad,11.0,124.0,3.0,25.0,14.0,135.0
2016,15,Serbia,Pop,80.0,35.0,8.0,7.0,18.0,115.0
2016,16,Lithuania,Ballad,96.0,104.0,17.0,22.0,9.0,200.0
2016,13,Australia,Pop,191.0,320.0,37.0,38.0,2.0,511.0
2016,8,Bulgaria,Dance,180.0,127.0,34.0,23.0,4.0,307.0
2016,21,Ukraine,Pop,323.0,211.0,40.0,24.0,1.0,534.0
2016,23,Georgia,Rock,24.0,80.0,6.0,12.0,20.0,104.0
2016,1,Belgium,Pop,51.0,130.0,9.0,20.0,10.0,181.0
2016,6,Italy,Pop,34.0,90.0,8.0,14.0,16.0,124.0
2016,9,Sweden,Pop,139.0,122.0,29.0,17.0,5.0,261.0
2016,10,Germany,Pop,10.0,1.0,2.0,1.0,26.0,11.0
2016,11,France,Pop,109.0,148.0,26.0,26.0,6.0,257.0
2016,19,Spain,Pop,10.0,67.0,5.0,15.0,22.0,77.0
2016,25,United Kingdom,Pop,8.0,54.0,3.0,10.0,24.0,62.0
2015,6,Armenia,Pop,15.0,77.0,11.0,4.0,16.0,92.0
2015,13,Belgium,Pop,186.0,190.0,37.0,31.0,4.0,376.0
2015,15,Greece,Ballad,29.0,24.0,4.0,5.0,19.0,53.0
2015,4,Estonia,Pop,53.0,144.0,32.0,16.0,7.0,197.0
2015,8,Serbia,Pop,12.0,86.0,16.0,4.0,10.0,98.0
2015,22,Hungary,Pop,29.0,17.0,4.0,8.0,20.0,46.0
2015,25,Russia,Pop,234.0,286.0,38.0,32.0,2.0,520.0
2015,26,Albania,Pop,4.0,93.0,12.0,2.0,17.0,97.0
2015,20,Romania,Pop,21.0,69.0,12.0,4.0,15.0,90.0
2015,23,Georgia,Pop,62.0,51.0,12.0,13.0,11.0,113.0
2015,7,Lithuania,Pop,31.0,44.0,6.0,9.0,18.0,75.0
2015,16,Montenegro,Traditional,44.0,34.0,5.0,9.0,13.0,78.0
2015,9,Norway,Ballad,163.0,37.0,10.0,24.0,8.0,200.0
2015,3,Israel,Pop,77.0,102.0,31.0,17.0,9.0,179.0
2015,19,Latvia,Pop,249.0,88.0,22.0,35.0,6.0,337.0
2015,24,Azerbaijan,Ballad,40.0,48.0,8.0,8.0,12.0,88.0
2015,10,Sweden,Pop,353.0,272.0,38.0,37.0,1.0,625.0
2015,11,Cyprus,Ballad,63.0,8.0,1.0,15.0,22.0,71.0
2015,1,Slovenia,Pop,36.0,27.0,6.0,10.0,14.0,63.0
2015,18,Poland,Ballad,2.0,47.0,10.0,1.0,23.0,49.0
2015,2,France,Ballad,24.0,3.0,1.0,8.0,25.0,27.0
2015,5,United Kingdom,Pop,12.0,4.0,2.0,6.0,24.0,16.0
2015,14,Austria,Ballad,40.0,0.0,0.0,12.0,26.0,40.0
2015,17,Germany,Pop,24.0,5.0,2.0,7.0,27.0,29.0
2015,21,Spain,Ballad,6.0,26.0,8.0,3.0,21.0,32.0
2015,27,Italy,Ballad,171.0,356.0,38.0,27.0,3.0,527.0
2014,7,Armenia,Ballad,113.0,187.0,26.0,19.0,4.0,300.0
2014,13,Sweden,Ballad,199.0,173.0,32.0,25.0,3.0,372.0
2014,4,Iceland,Rock,59.0,38.0,9.0,9.0,15.0,97.0
2014,15,Russia,Pop,62.0,132.0,18.0,11.0,7.0,194.0
2014,3,Azerbaijan,Ballad,101.0,14.0,3.0,22.0,22.0,115.0
2014,1,Ukraine,Pop,72.0,112.0,19.0,14.0,6.0,184.0
2014,25,San Marino,Ballad,16.0,15.0,7.0,3.0,24.0,31.0
2014,24,Netherlands,Traditional,,,,,2.0,0.0
2014,8,Montenegro,Ballad,48.0,27.0,3.0,9.0,19.0,75.0
2014,21,Hungary,Pop,138.0,83.0,21.0,21.0,5.0,221.0
2014,22,Malta,Traditional,119.0,12.0,4.0,22.0,23.0,131.0
2014,5,Norway,Ballad,102.0,39.0,13.0,18.0,8.0,141.0
2014,9,Poland,Traditional,23.0,162.0,23.0,6.0,14.0,185.0
2014,11,Austria,Ballad,214.0,306.0,34.0,26.0,1.0,520.0
2014,18,Finland,Rock,114.0,36.0,7.0,19.0,11.0,150.0
2014,2,Belarus,Pop,50.0,56.0,10.0,9.0,16.0,106.0
2014,20,Switzerland,Pop,26.0,114.0,29.0,5.0,13.0,140.0
2014,10,Greece,Dance,45.0,41.0,11.0,11.0,20.0,86.0
2014,17,Slovenia,Pop,21.0,15.0,2.0,7.0,25.0,36.0
2014,6,Romania,Dance,51.0,103.0,16.0,9.0,12.0,154.0
2014,12,Germany,Traditional,56.0,27.0,6.0,12.0,18.0,83.0
2014,14,France,Dance,5.0,1.0,1.0,2.0,26.0,6.0
2014,16,Italy,Rock,37.0,22.0,4.0,5.0,21.0,59.0
2014,19,Spain,Ballad,83.0,29.0,7.0,21.0,10.0,112.0
2014,23,Denmark,Pop,85.0,42.0,12.0,16.0,9.0,127.0
2014,26,United Kingdom,Pop,49.0,24.0,5.0,12.0,17.0,73.0
2013,7,Estonia,Ballad,,,,,20.0,0.0
2013,18,Denmark,Pop,,,,,1.0,0.0
2013,10,Russia,Ballad,,,,,5.0,0.0
2013,22,Ukraine,Pop,,,,,3.0,0.0
2013,13,Netherlands,Ballad,,,,,9.0,0.0
2013,2,Lithuania,Dance,,,,,22.0,0.0
2013,8,Belarus,Dance,,,,,16.0,0.0
2013,3,Moldova,Ballad,,,,,11.0,0.0
2013,26,Ireland,Pop,,,,,26.0,0.0
2013,6,Belgium,Pop,,,,,12.0,0.0
2013,20,Azerbaijan,Ballad,,,,,2.0,0.0
2013,4,Finland,Pop,,,,,24.0,0.0
2013,9,Malta,Pop,,,,,8.0,0.0
2013,19,Iceland,Traditional,,,,,17.0,0.0
2013,21,Greece,Traditional,,,,,6.0,0.0
2013,12,Armenia,Rock,,,,,18.0,0.0
2013,17,Hungary,Pop,,,,,10.0,0.0
2013,24,Norway,Dance,,,,,4.0,0.0
2013,25,Georgia,Ballad,,,,,15.0,0.0
2013,14,Romania,Dance,,,,,13.0,0.0
2013,1,France,Rock,,,,,23.0,0.0
2013,5,Spain,Rock,,,,,25.0,0.0
2013,11,Germany,Dance,,,,,21.0,0.0
2013,15,United Kingdom,Rock,,,,,19.0,0.0
2013,16,Sweden,Dance,,,,,14.0,0.0
2013,23,Italy,Ballad,,,,,7.0,0.0
2012,7,Iceland,Ballad,39.0,53.0,,,20.0,92.0
2012,16,Greece,Dance,89.0,60.0,,,17.0,149.0
2012,3,Albania,Ballad,106.0,157.0,,,5.0,263.0
2012,14,Romania,Dance,117.0,53.0,,,12.0,170.0
2012,8,Cyprus,Dance,63.0,85.0,,,16.0,148.0
2012,15,Denmark,Rock,18.0,51.0,,,23.0,69.0
2012,6,Russia,Dance,332.0,94.0,,,2.0,426.0
2012,2,Hungary,Pop,20.0,30.0,,,24.0,50.0
2012,26,Moldova,Pop,75.0,104.0,,,11.0,179.0
2012,23,Ireland,Dance,89.0,14.0,,,19.0,103.0
2012,24,Serbia,Ballad,211.0,173.0,,,3.0,384.0
2012,22,North Macedonia,Rock,,,,,13.0,0.0
2012,21,Malta,Dance,10.0,70.0,,,21.0,80.0
2012,25,Ukraine,Dance,37.0,125.0,,,15.0,162.0
2012,17,Sweden,Dance,343.0,296.0,,,1.0,639.0
2012,18,Turkey,Traditional,176.0,50.0,,,7.0,226.0
2012,11,Estonia,Ballad,78.0,152.0,,,6.0,230.0
2012,12,Norway,Dance,16.0,24.0,,,26.0,40.0
2012,5,Bosnia and Herzegovina,Ballad,,,,,18.0,0.0
2012,4,Lithuania,Ballad,68.0,82.0,,,14.0,150.0
2012,1,United Kingdom,Ballad,36.0,11.0,,,25.0,47.0
2012,9,France,Pop,0.0,85.0,,,22.0,85.0
2012,10,Italy,Pop,56.0,157.0,,,9.0,213.0
2012,13,Azerbaijan,Ballad,151.0,118.0,,,4.0,269.0
2012,19,Spain,Ballad,45.0,154.0,,,10.0,199.0
2012,20,Germany,Pop,125.0,98.0,,,8.0,223.0
2011,24,Serbia,Pop,89.0,111.0,,,14.0,200.0
2011,10,Russia,Pop,138.0,25.0,,,16.0,163.0
2011,13,Switzerland,Pop,2.0,53.0,,,25.0,55.0
2011,25,Georgia,Rock,138.0,79.0,,,9.0,217.0
2011,1,Finland,Pop,47.0,75.0,,,21.0,122.0
2011,21,Iceland,Pop,60.0,72.0,,,20.0,132.0
2011,5,Hungary,Dance,64.0,60.0,,,22.0,124.0
2011,4,Lithuania,Ballad,55.0,66.0,,,19.0,121.0
2011,19,Azerbaijan,Ballad,223.0,182.0,,,1.0,405.0
2011,9,Greece,Pop,176.0,84.0,,,7.0,260.0
2011,2,Bosnia and Herzegovina,Pop,,,,,6.0,0.0
2011,18,Austria,Ballad,25.0,145.0,,,18.0,170.0
2011,23,Ukraine,Ballad,168.0,117.0,,,4.0,285.0
2011,15,Moldova,Rock,98.0,82.0,,,12.0,180.0
2011,7,Sweden,Dance,221.0,106.0,,,3.0,327.0
2011,20,Slovenia,Ballad,39.0,160.0,,,13.0,199.0
2011,17,Romania,Pop,79.0,86.0,,,17.0,165.0
2011,8,Estonia,Pop,32.0,74.0,,,24.0,106.0
2011,3,Denmark,Rock,61.0,168.0,,,5.0,229.0
2011,6,Ireland,Pop,101.0,119.0,,,8.0,220.0
2011,11,France,Ballad,76.0,90.0,,,15.0,166.0
2011,12,Italy,Ballad,99.0,251.0,,,2.0,350.0
2011,14,United Kingdom,Pop,166.0,57.0,,,11.0,223.0
2011,16,Germany,Pop,113.0,104.0,,,10.0,217.0
2011,22,Spain,Pop,73.0,38.0,,,23.0,111.0
2010,4,Moldova,Pop,28.0,33.0,,,22.0,61.0
2010,20,Russia,Ballad,107.0,63.0,,,11.0,170.0
2010,8,Serbia,Pop,110.0,37.0,,,13.0,147.0
2010,6,Bosnia and Herzegovina,Rock,,,,,17.0,0.0
2010,7,Belgium,Pop,76.0,185.0,,,6.0,261.0
2010,15,Albania,Pop,35.0,97.0,,,16.0,132.0
2010,11,Greece,Pop,152.0,110.0,,,8.0,262.0
2010,23,Portugal,Ballad,24.0,69.0,,,18.0,93.0
2010,9,Belarus,Ballad,18.0,22.0,,,24.0,40.0
2010,16,Iceland,Dance,40.0,57.0,,,19.0,97.0
2010,21,Armenia,Pop,166.0,116.0,,,7.0,282.0
2010,24,Israel,Ballad,27.0,134.0,,,14.0,161.0
2010,25,Denmark,Pop,174.0,121.0,,,4.0,295.0
2010,1,Azerbaijan,Ballad,161.0,116.0,,,5.0,277.0
2010,17,Ukraine,Ballad,94.0,129.0,,,10.0,223.0
2010,19,Romania,Pop,155.0,167.0,,,3.0,322.0
2010,10,Ireland,Ballad,15.0,62.0,,,23.0,77.0
2010,5,Cyprus,Pop,16.0,57.0,,,21.0,73.0
2010,13,Georgia,Ballad,127.0,160.0,,,9.0,287.0
2010,14,Turkey,Rock,177.0,119.0,,,2.0,296.0
2010,2,Spain,Pop,106.0,43.0,,,15.0,149.0
2010,3,Norway,Ballad,18.0,61.0,,,20.0,79.0
2010,12,United Kingdom,Pop,,,,,25.0,0.0
2010,18,France,Dance,151.0,34.0,,,12.0,185.0
2010,22,Germany,Pop,243.0,187.0,,,1.0,430.0
2009,4,Sweden,Traditional,59.0,27.0,,,21.0,86.0
2009,9,Armenia,Traditional,111.0,71.0,,,10.0,182.0
2009,18,Turkey,Dance,203.0,114.0,,,4.0,317.0
2009,2,Israel,Pop,15.0,107.0,,,16.0,122.0
2009,7,Iceland,Ballad,173.0,260.0,,,2.0,433.0
2009,22,Romania,Dance,64.0,31.0,,,19.0,95.0
2009,24,Finland,Pop,30.0,12.0,,,25.0,42.0
2009,6,Portugal,Traditional,45.0,64.0,,,15.0,109.0
2009,14,Malta,Ballad,18.0,87.0,,,22.0,105.0
2009,12,Bosnia and Herzegovina,Ballad,124.0,90.0,,,9.0,214.0
2009,5,Croatia,Ballad,55.0,58.0,,,18.0,113.0
2009,20,Norway,Traditional,378.0,312.0,,,1.0,690.0
2009,16,Denmark,Rock,40.0,120.0,,,13.0,160.0
2009,11,Azerbaijan,Pop,253.0,112.0,,,3.0,365.0
2009,8,Greece,Dance,151.0,93.0,,,7.0,244.0
2009,1,Lithuania,Ballad,38.0,31.0,,,23.0,69.0
2009,13,Moldova,Traditional,66.0,93.0,,,14.0,159.0
2009,19,Albania,Dance,81.0,26.0,,,17.0,107.0
2009,21,Ukraine,Pop,70.0,68.0,,,12.0,138.0
2009,15,Estonia,Ballad,129.0,124.0,,,6.0,253.0
2009,3,France,Ballad,54.0,164.0,,,8.0,218.0
2009,10,Russia,Ballad,118.0,67.0,,,11.0,185.0
2009,17,Germany,Pop,18.0,73.0,,,20.0,91.0
2009,23,United Kingdom,Ballad,105.0,223.0,,,5.0,328.0
2009,25,Spain,Dance,38.0,9.0,,,24.0,47.0
