year,semi_final,semi_draw_position,country,style,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2023,1,1,Norway,Pop,6.0,102.0,,102.0
2023,1,2,Malta,Pop,15.0,3.0,,3.0
2023,1,3,Serbia,Pop,10.0,37.0,,37.0
2023,1,4,Latvia,Rock,11.0,34.0,,34.0
2023,1,5,Portugal,Pop,9.0,74.0,,74.0
2023,1,6,Ireland,Rock,12.0,10.0,,10.0
2023,1,7,Croatia,Pop,8.0,76.0,,76.0
2023,1,8,Switzerland,Ballad,7.0,97.0,,97.0
2023,1,9,Israel,Pop,3.0,127.0,,127.0
2023,1,10,Moldova,Traditional,5.0,109.0,,109.0
2023,1,11,Sweden,Pop,2.0,135.0,,135.0
2023,1,12,Azerbaijan,Pop,14.0,4.0,,4.0
2023,1,13,Czech Republic,Pop,4.0,110.0,,110.0
2023,1,14,Netherlands,Ballad,13.0,7.0,,7.0
2023,1,15,Finland,Pop,1.0,177.0,,177.0
2023,2,1,Denmark,Pop,14.0,6.0,,6.0
2023,2,2,Armenia,Ballad,6.0,99.0,,99.0
2023,2,3,Romania,Pop,15.0,0.0,,0.0
2023,2,4,Estonia,Ballad,10.0,74.0,,74.0
2023,2,5,Belgium,Pop,8.0,90.0,,90.0
2023,2,6,Cyprus,Ballad,7.0,94.0,,94.0
2023,2,7,Iceland,Pop,11.0,44.0,,44.0
2023,2,8,Greece,Pop,13.0,14.0,,14.0
2023,2,9,Poland,Pop,3.0,124.0,,124.0
2023,2,10,Slovenia,Rock,5.0,103.0,,103.0
2023,2,11,Georgia,Ballad,12.0,33.0,,33.0
2023,2,12,San Marino,Rock,16.0,0.0,,0.0
2023,2,13,Austria,Pop,2.0,137.0,,137.0
2023,2,14,Albania,Traditional,9.0,83.0,,83.0
2023,2,15,Lithuania,Ballad,4.0,110.0,,110.0
2023,2,16,Australia,Rock,1.0,149.0,,149.0
2022,1,1,Albania,Pop,12.0,46.0,12.0,58.0
2022,1,2,Latvia,Pop,14.0,16.0,39.0,55.0
2022,1,3,Lithuania,Ballad,7.0,103.0,56.0,159.0
2022,1,4,Switzerland,Ballad,9.0,11.0,107.0,118.0
2022,1,5,Slovenia,Pop,17.0,8.0,7.0,15.0
2022,1,6,Ukraine,Traditional,1.0,202.0,135.0,337.0
2022,1,7,Bulgaria,Rock,16.0,18.0,11.0,29.0
2022,1,8,Netherlands,Ballad,2.0,79.0,142.0,221.0
2022,1,9,Moldova,Traditional,8.0,135.0,19.0,154.0
2022,1,10,Portugal,Ballad,4.0,87.0,121.0,208.0
2022,1,11,Croatia,Ballad,11.0,33.0,42.0,75.0
2022,1,12,Denmark,Rock,13.0,20.0,35.0,55.0
2022,1,13,Austria,Dance,15.0,36.0,6.0,42.0
2022,1,14,Iceland,Traditional,10.0,39.0,64.0,103.0
2022,1,15,Greece,Ballad,3.0,60.0,151.0,211.0
2022,1,16,Norway,Pop,6.0,104.0,73.0,177.0
2022,1,17,Armenia,Ballad,5.0,105.0,82.0,187.0
2022,2,1,Finland,Rock,7.0,99.0,63.0,162.0
2022,2,2,Israel,Pop,13.0,27.0,34.0,61.0
2022,2,3,Serbia,Traditional,3.0,174.0,63.0,237.0
2022,2,4,Azerbaijan,Ballad,10.0,0.0,96.0,96.0
2022,2,5,Georgia,Rock,18.0,9.0,13.0,22.0
2022,2,6,Malta,Pop,16.0,20.0,27.0,47.0
2022,2,7,San Marino,Rock,14.0,29.0,21.0,50.0
2022,2,8,Australia,Ballad,2.0,74.0,169.0,243.0
2022,2,9,Cyprus,Pop,12.0,54.0,9.0,63.0
2022,2,10,Ireland,Pop,15.0,35.0,12.0,47.0
2022,2,11,North Macedonia,Ballad,11.0,20.0,56.0,76.0
2022,2,12,Estonia,Pop,5.0,96.0,113.0,209.0
2022,2,13,Romania,Pop,9.0,100.0,18.0,118.0
2022,2,14,Poland,Ballad,6.0,114.0,84.0,198.0
2022,2,15,Montenegro,Ballad,17.0,22.0,11.0,33.0
2022,2,16,Belgium,Pop,8.0,46.0,105.0,151.0
2022,2,17,Sweden,Ballad,1.0,174.0,222.0,396.0
2022,2,18,Czech Republic,Dance,4.0,125.0,102.0,227.0
2021,1,1,Lithuania,Dance,4.0,137.0,66.0,203.0
2021,1,2,Slovenia,Ballad,13.0,8.0,36.0,44.0
2021,1,3,Russia,Traditional,3.0,108.0,117.0,225.0
2021,1,4,Sweden,Pop,7.0,51.0,91.0,142.0
2021,1,5,Australia,Pop,14.0,2.0,26.0,28.0
2021,1,6,North Macedonia,Ballad,15.0,11.0,12.0,23.0
2021,1,7,Ireland,Pop,16.0,4.0,16.0,20.0
2021,1,8,Cyprus,Pop,6.0,78.0,92.0,170.0
2021,1,9,Norway,Pop,10.0,77.0,38.0,115.0
2021,1,10,Croatia,Pop,11.0,53.0,57.0,110.0
2021,1,11,Belgium,Ballad,9.0,47.0,70.0,117.0
2021,1,12,Israel,Pop,5.0,93.0,99.0,192.0
2021,1,13,Romania,Ballad,12.0,27.0,58.0,85.0
2021,1,14,Azerbaijan,Pop,8.0,91.0,47.0,138.0
2021,1,15,Ukraine,Traditional,2.0,164.0,103.0,267.0
2021,1,16,Malta,Pop,1.0,151.0,174.0,325.0
2021,2,1,San Marino,Dance,9.0,42.0,76.0,118.0
2021,2,2,Estonia,Ballad,13.0,29.0,29.0,58.0
2021,2,3,Czech Republic,Ballad,15.0,0.0,23.0,23.0
2021,2,4,Greece,Pop,6.0,80.0,104.0,184.0
2021,2,5,Austria,Ballad,12.0,13.0,53.0,66.0
2021,2,6,Poland,Pop,14.0,17.0,18.0,35.0
2021,2,7,Moldova,Pop,7.0,123.0,56.0,179.0
2021,2,8,Iceland,Pop,2.0,148.0,140.0,288.0
2021,2,9,Serbia,Pop,8.0,68.0,56.0,124.0
2021,2,10,Georgia,Ballad,16.0,15.0,1.0,16.0
2021,2,11,Albania,Ballad,10.0,38.0,74.0,112.0
2021,2,12,Portugal,Traditional,4.0,111.0,128.0,239.0
2021,2,13,Bulgaria,Ballad,3.0,101.0,149.0,250.0
2021,2,14,Finland,Rock,5.0,150.0,84.0,234.0
2021,2,15,Latvia,Ballad,17.0,10.0,4.0,14.0
2021,2,16,Switzerland,Ballad,1.0,135.0,156.0,291.0
2021,2,17,Denmark,Pop,11.0,80.0,9.0,89.0
2019,1,1,Cyprus,Dance,9.0,54.0,95.0,149.0
2019,1,2,Montenegro,Pop,16.0,15.0,31.0,46.0
2019,1,3,Finland,Dance,17.0,14.0,9.0,23.0
2019,1,4,Poland,Traditional,11.0,60.0,60.0,120.0
2019,1,5,Slovenia,Ballad,6.0,93.0,74.0,167.0
2019,1,6,Czech Republic,Pop,2.0,85.0,157.0,242.0
2019,1,7,Hungary,Ballad,12.0,32.0,65.0,97.0
2019,1,8,Belarus,Dance,10.0,44.0,78.0,122.0
2019,1,9,Serbia,Ballad,7.0,65.0,91.0,156.0
2019,1,10,Belgium,Ballad,13.0,20.0,50.0,70.0
2019,1,11,Georgia,Traditional,14.0,33.0,29.0,62.0
2019,1,12,Australia,Opera,1.0,140.0,121.0,261.0
2019,1,13,Iceland,Dance,3.0,151.0,70.0,221.0
2019,1,14,Estonia,Pop,4.0,133.0,65.0,198.0
2019,1,15,Portugal,Traditional,15.0,43.0,8.0,51.0
2019,1,16,Greece,Pop,5.0,54.0,131.0,185.0
2019,1,17,San Marino,Dance,8.0,124.0,26.0,150.0
2019,2,1,Armenia,Pop,16.0,23.0,26.0,49.0
2019,2,2,Ireland,Pop,18.0,3.0,13.0,16.0
2019,2,3,Moldova,Ballad,12.0,27.0,58.0,85.0
2019,2,4,Switzerland,Dance,4.0,137.0,95.0,232.0
2019,2,5,Latvia,Pop,15.0,13.0,37.0,50.0
2019,2,6,Romania,Pop,13.0,24.0,47.0,71.0
2019,2,7,Denmark,Pop,10.0,41.0,53.0,94.0
2019,2,8,Sweden,Ballad,3.0,88.0,150.0,238.0
2019,2,9,Austria,Ballad,17.0,0.0,21.0,21.0
2019,2,10,Croatia,Ballad,14.0,38.0,26.0,64.0
2019,2,11,Malta,Pop,8.0,50.0,107.0,157.0
2019,2,12,Lithuania,Pop,11.0,77.0,16.0,93.0
2019,2,13,Russia,Ballad,6.0,124.0,93.0,217.0
2019,2,14,Albania,Traditional,9.0,58.0,38.0,96.0
2019,2,15,Norway,Dance,7.0,170.0,40.0,210.0
2019,2,16,Netherlands,Ballad,1.0,140.0,140.0,280.0
2019,2,17,North Macedonia,Ballad,2.0,84.0,155.0,239.0
2019,2,18,Azerbaijan,Pop,5.0,121.0,103.0,224.0
2018,1,1,Azerbaijan,Pop,11.0,47.0,47.0,94.0
2018,1,2,Iceland,Ballad,19.0,0.0,15.0,15.0
2018,1,3,Albania,Rock,8.0,48.0,114.0,162.0
2018,1,4,Belgium,Pop,12.0,20.0,71.0,91.0
2018,1,5,Czech Republic,Pop,3.0,134.0,98.0,232.0
2018,1,6,Lithuania,Ballad,9.0,62.0,57.0,119.0
2018,1,7,Israel,Pop,1.0,116.0,167.0,283.0
2018,1,8,Belarus,Ballad,16.0,45.0,20.0,65.0
2018,1,9,Estonia,Opera,5.0,120.0,81.0,201.0
2018,1,10,Bulgaria,Pop,7.0,70.0,107.0,177.0
2018,1,11,North Macedonia,Pop,18.0,6.0,18.0,24.0
2018,1,12,Croatia,Pop,17.0,17.0,46.0,63.0
2018,1,13,Austria,Pop,4.0,116.0,115.0,231.0
2018,1,14,Greece,Pop,14.0,53.0,28.0,81.0
2018,1,15,Finland,Pop,10.0,73.0,35.0,108.0
2018,1,16,Armenia,Pop,15.0,41.0,38.0,79.0
2018,1,17,Switzerland,Pop,13.0,27.0,59.0,86.0
2018,1,18,Ireland,Traditional,6.0,108.0,71.0,179.0
2018,1,19,Cyprus,Pop,2.0,173.0,89.0,262.0
2018,2,1,Norway,Pop,1.0,133.0,133.0,266.0
2018,2,2,Romania,Pop,11.0,40.0,67.0,107.0
2018,2,3,Serbia,Traditional,9.0,72.0,45.0,117.0
2018,2,4,San Marino,Pop,17.0,14.0,14.0,28.0
2018,2,5,Denmark,Traditional,5.0,164.0,40.0,204.0
2018,2,6,Russia,Pop,15.0,51.0,14.0,65.0
2018,2,7,Moldova,Pop,3.0,153.0,82.0,235.0
2018,2,8,Netherlands,Rock,7.0,47.0,127.0,174.0
2018,2,9,Australia,Pop,4.0,82.0,130.0,212.0
2018,2,10,Georgia,Pop,18.0,13.0,11.0,24.0
2018,2,11,Poland,Dance,14.0,60.0,21.0,81.0
2018,2,12,Malta,Pop,13.0,8.0,93.0,101.0
2018,2,13,Hungary,Rock,10.0,88.0,23.0,111.0
2018,2,14,Latvia,Pop,12.0,14.0,92.0,106.0
2018,2,15,Sweden,Pop,2.0,83.0,171.0,254.0
2018,2,16,Montenegro,Rock,16.0,17.0,23.0,40.0
2018,2,17,Slovenia,Pop,8.0,65.0,67.0,132.0
2018,2,18,Ukraine,Dance,6.0,114.0,65.0,179.0
2017,1,1,Sweden,Pop,3.0,103.0,124.0,227.0
2017,1,2,Georgia,Pop,11.0,37.0,62.0,99.0
2017,1,3,Australia,Pop,6.0,21.0,139.0,160.0
2017,1,4,Albania,Pop,14.0,38.0,38.0,76.0
2017,1,5,Belgium,Pop,4.0,125.0,40.0,165.0
2017,1,6,Montenegro,Pop,16.0,39.0,17.0,56.0
2017,1,7,Finland,Ballad,12.0,51.0,41.0,92.0
2017,1,8,Azerbaijan,Pop,8.0,63.0,87.0,150.0
2017,1,9,Portugal,Ballad,1.0,197.0,173.0,370.0
2017,1,10,Greece,Pop,10.0,54.0,61.0,115.0
2017,1,11,Poland,Pop,9.0,69.0,50.0,119.0
2017,1,12,Moldova,Dance,2.0,180.0,111.0,291.0
2017,1,13,Iceland,Pop,15.0,31.0,29.0,60.0
2017,1,14,Czech Republic,Pop,13.0,2.0,81.0,83.0
2017,1,15,Cyprus,Pop,5.0,103.0,61.0,164.0
2017,1,16,Armenia,Pop,7.0,65.0,87.0,152.0
2017,1,17,Slovenia,Ballad,17.0,20.0,16.0,36.0
2017,1,18,Latvia,Pop,18.0,20.0,1.0,21.0
2017,2,1,Serbia,Pop,11.0,45.0,53.0,98.0
2017,2,2,Austria,Pop,7.0,32.0,115.0,147.0
2017,2,3,North Macedonia,Pop,15.0,40.0,29.0,69.0
2017,2,4,Malta,Ballad,16.0,0.0,55.0,55.0
2017,2,5,Romania,Pop,6.0,148.0,26.0,174.0
2017,2,6,Netherlands,Pop,4.0,51.0,149.0,200.0
2017,2,7,Hungary,Traditional,2.0,165.0,66.0,231.0
2017,2,8,Denmark,Pop,10.0,5.0,96.0,101.0
2017,2,9,Ireland,Ballad,13.0,41.0,45.0,86.0
2017,2,10,San Marino,Pop,18.0,1.0,0.0,1.0
2017,2,11,Croatia,Opera,8.0,104.0,37.0,141.0
2017,2,12,Norway,Pop,5.0,52.0,137.0,189.0
2017,2,13,Switzerland,Pop,12.0,49.0,48.0,97.0
2017,2,14,Belarus,Pop,9.0,55.0,55.0,110.0
2017,2,15,Bulgaria,Pop,1.0,204.0,199.0,403.0
2017,2,16,Lithuania,Pop,17.0,25.0,17.0,42.0
2017,2,17,Estonia,Pop,14.0,69.0,16.0,85.0
2017,2,18,Israel,Pop,3.0,132.0,75.0,207.0
2016,1,1,Finland,Pop,15.0,16.0,35.0,51.0
2016,1,2,Greece,Pop,16.0,22.0,22.0,44.0
2016,1,3,Moldova,Pop,17.0,9.0,24.0,33.0
2016,1,4,Hungary,Pop,4.0,119.0,78.0,197.0
2016,1,5,Croatia,Pop,10.0,53.0,80.0,133.0
2016,1,6,Netherlands,Pop,5.0,95.0,102.0,197.0
2016,1,7,Armenia,Pop,2.0,116.0,127.0,243.0
2016,1,8,San Marino,Pop,12.0,49.0,19.0,68.0
2016,1,9,Russia,Pop,1.0,194.0,148.0,342.0
2016,1,10,Czech Republic,Pop,9.0,41.0,120.0,161.0
2016,1,11,Cyprus,Rock,8.0,93.0,71.0,164.0
2016,1,12,Austria,Pop,7.0,133.0,37.0,170.0
